title,link,comment
 Java核心技术 卷I：基础知识（原书第10版）全新第10版！Java领域极具影响力和价值的著作之一，与《Java编程思想》齐名，10余年全球畅销不衰，广受好评,http://product.dangdang.com/24035306.html,8990条评论
 Python基础教程（第3版）Python3.5编程从入门到实践 Python入门佳作 机器学习 人工智能 数据处理 网络爬虫热门编程语言 累计销售20万册,http://product.dangdang.com/25218035.html,4568条评论
 笨办法学Python 3经典畅销Python入门教程升级版 Python3编程从入门到实践教程 手机扫码看5个小时配套视频 跟着数百万人的Python导师学Python编程入门基础教程 代码基于Python3.6,http://product.dangdang.com/25286312.html,23条评论
 Python编程快速上手 让繁琐工作自动化（Python3编程从入门到实践 新手学习必备用书）Python3编程从入门到实践美亚畅销Python编程入门图书 Python3实战指南 带你快速实现Python高效编程,http://product.dangdang.com/23997502.html,9166条评论
 Effective Java中文版(第2版),http://product.dangdang.com/20459091.html,12685条评论
 HTML5+CSS3+JavaScript从入门到精通（标准版） web开发技术基础视频讲解与案例实战，8大素材库、源10万读者检验 扫一扫随时随地看视频 412节同步视频 661个案例分析 1000习题面试题 4396个案例 47部参考手册 1636个模版 17类素材库 623项配色 508项欣赏库 网页制作 网页,http://product.dangdang.com/25108303.html,4333条评论
 JavaScript高级程序设计(第3版)(JavaScript技术名著，html+css+javascript教程精前端开发经典图书 JavaScript技术名著 web前端开发国内js一书 掌握JavaScript编程艺术,http://product.dangdang.com/22628333.html,21182条评论
 重构 改善既有代码的设计世界知名软件开发大师Martin Fowler的不朽经典 生动阐述重构原理和具体做法 普通程序员进阶到编程高手的修炼秘笈,http://product.dangdang.com/23734636.html,9860条评论
 JavaScript权威指南（第6版）（淘宝前端团队倾情翻译！经典权威的JavaScript犀牛书！第6版特别涵盖了H经典的JavaScript犀牛书！第6版特别涵盖了HTML5和ECMAScript5！,http://product.dangdang.com/22722790.html,17557条评论
 数据结构与算法分析：Java语言描述（原书第3版）国际著名计算机教育专家Weiss数据结构与算法Java描述经典教材新版，把算法分析与高效率的Java程序的开发有机地结合起来，深入分析每种算法。,http://product.dangdang.com/23918741.html,5346条评论
 Head First Java（中文版）（JAVA经典畅销书 生动有趣 轻松学好JAVA）10年畅销经典，累计印刷30多次，畅销10万余册，计算机图书十大好书之一。,http://product.dangdang.com/9265169.html,28814条评论
 Java核心技术卷II：高级特性（原书第10版）Java领域*有影响力和价值的著作之一,http://product.dangdang.com/25171892.html,1955条评论
 Spring实战（第4版）Spring经典图书 针对spring4进行更新 Java web开发从入门到精通 了解Java Spring技术内幕 进行spring源码深度解析 实践Java编程思想,http://product.dangdang.com/23931418.html,7614条评论
 Python编程（第四版）Python高手进阶宝典，包含大量实用Python编程技巧，涵盖Python编程的方方面面，涵盖Python 3.X，是Python领域经典的开发指南。,http://product.dangdang.com/23617284.html,4346条评论
 Python 3网络爬虫开发实战博客文章访问量过百万的博主倾力打造，教你学会如何用Python 3开发爬虫,http://product.dangdang.com/25249602.html,1814条评论
 机器学习实战【python基础教程指南，python核心编程实例指导，对wxpython数据库充分的讲解，不可错过的编人工智能开发图书 深度学习实践应用 利用Python阐述机器学习算法 配合日常用例 强劲实战导向 程序员人手常备,http://product.dangdang.com/23254747.html,14324条评论
 疯狂Java讲义（第4版）10年经典原创读物，覆盖Java 8，Java 9，李刚作品成为50万读者之选，本书赠送包含1500分钟课程讲解的视频、源代码、电子书、课件、面试题，提供微信+QQ答疑群，配套学习交流网站,http://product.dangdang.com/23532609.html,9688条评论
 教孩子学编程 Python语言版少儿编程入门书 高中新课标必修编程入门书 中小学编程自学教程 基于Python3编写的程序设计入门书 学习计算机思维方式 构建编程思维 寓教于乐全彩印刷,http://product.dangdang.com/23928893.html,4953条评论
 区块链原理、设计与应用区块链技术落地实战,从区块链到超级账本,http://product.dangdang.com/25159352.html,3855条评论
 啊哈C语言！逻辑的挑战（修订版）当当销量过万畅销书全新修订 超萌超简单的C语言入门教程,http://product.dangdang.com/24171639.html,3605条评论
 JavaEE开发的颠覆者: Spring Boot实战,http://product.dangdang.com/23926195.html,4118条评论
 精通Python爬虫框架Scrapypython3 scrapy教程 全面剖析网络爬虫技术的实现原理 通过爬取示例演示Scrapy的应用 涵盖从桌面端爬取到移动端爬取 实时爬取在内的所有内容,http://product.dangdang.com/25227022.html,1453条评论
 Spring微服务实战微服务开发领域重磅作品 与《Spring实战》《Spring Boot实战》并称“Spring开发三剑客”,http://product.dangdang.com/25271230.html,262条评论
 编程珠玑（第2版·修订版）20余年畅销不衰计算机科学的不朽经典 伟大的计算机科学著作之一 程序员推选的心爱计算机图书 讲解如何正确选择和高效地实现算法 基于C和C++语言编写,http://product.dangdang.com/23640352.html,8685条评论
 Java EE互联网轻量级框架整合开发— —SSM框架（Spring MVC+Spring+MyBatis）和Redi,http://product.dangdang.com/25111311.html,2195条评论
 PHP从入门到精通（第4版）新版上市！120000读者口碑相传 31次印刷 25小时视频 808个经典实例 15项面试真题 626项测试 php 入门 框架 范例 案例 视频教程 长期位居 php mysql 开发 培训排行榜前,http://product.dangdang.com/25086349.html,1613条评论
 剑指Offer：名企面试官精讲典型编程题（第2版）继英文版登陆全球市场后又迎来重大升级 加大题量+更新题目+优化解法+融合中外 第二版重磅升级,http://product.dangdang.com/24242724.html,4666条评论
 Python学习手册：第4版（涵盖Python2.6和3.X）,http://product.dangdang.com/21063086.html,6043条评论
 用户体验要素：以用户为中心的产品设计（原书第2版）（决战大数据时代！IT技术人员不得不读！）,http://product.dangdang.com/21110580.html,17457条评论
 Go程序设计语言《程序设计语言》作者Kerninghan教授与谷歌GO开发团队核心成员联合编写，Go语言编程圣经,http://product.dangdang.com/25072202.html,1160条评论
 C++ Primer中文版（第5版）荣登年度技术影响力引进图书榜,http://product.dangdang.com/23321562.html,17264条评论
 C#入门经典第7版WORX经典红皮书，屡获殊荣的C#名著和超级畅销书 长期位居C#开发类零售榜首,更新至C# 6.0 源代码免费提供下载，引领无数读者进入IT开发殿堂,http://product.dangdang.com/24011143.html,3624条评论
 MATLAB R2016a完全自学一本通已被超过10万MATLAB用户选择为入门书，MathWorks公司推荐用书,http://product.dangdang.com/24142436.html,6406条评论
 趣学算法50 多个实例循展示算法的设计、实现、复杂性分析及优化过程 培养算法思维 带您感受算法之美,http://product.dangdang.com/25139435.html,1012条评论
 啊哈！算法算法入门书 算法导论学习指南 ACM和信息学竞赛备考宝典 一本轻松玩转算法和数据结构的超萌书 奥赛教练 微软亚洲研究院小伙伴啊哈磊埋头苦干的作品,http://product.dangdang.com/23490849.html,6480条评论
 零基础入门学习PythonPython3入门必备 小甲鱼手把手教授Python开发，随书附送96集免费视频教程，让读者从真实案例中领略Python的真正魅力，让您轻松快速用python,http://product.dangdang.com/24104299.html,1356条评论
 Java并发编程的艺术,http://product.dangdang.com/23745571.html,2258条评论
 Docker技术入门与实战（第2版）入门Docker*本书，基于Docker 1.21及以上版本,http://product.dangdang.com/24194119.html,1349条评论
 Java从入门到精通（项目案例版）扫码看视频重印80次销售50万册手机扫码看视频重印80次销售50万册之全新再造，302节视频 150小时在线课程 职业规划及800道面试真题 1093个源码分析 16个移植模块 15个项目案例 Java编程思想 Java核心技术。,http://product.dangdang.com/25163118.html,1912条评论
 R语言实战 第2版R语言入门到精通 大数据挖掘 用R轻松实现数据挖掘 数据可视化 从实际数据分析出发 全面掌握R编程 新增预测性分析 简化多变量数据等近200页内容,http://product.dangdang.com/23964002.html,7495条评论
 Spring源码深度解析spring框架揭秘 spring实战指南 Java程序员开发书籍,http://product.dangdang.com/23329703.html,3964条评论
 Python与机器学习实战：决策树、集成学习、支持向量机与神经网络算法详解及编程实现简单的Python，可以完成复杂的机器学习算法，跟北大数学系的学霸一起来吧！,http://product.dangdang.com/25107201.html,1386条评论
 可伸缩服务架构：框架与中间件随机发售作者亲笔签名版，技术大咖热赞！详解分布式发号器、消息队列框架、数据库分库分表、缓存、ES、分布式调度任务、RPC、Dubbo、高性能中间件，破解可伸缩服务架构奥秘,http://product.dangdang.com/25237641.html,1158条评论
 算法图解像小说一样有趣的算法入门书 代码示例基于Python 熟练掌握算法设计与分析,http://product.dangdang.com/24214704.html,3207条评论
 音视频开发进阶指南：基于Android与iOS平台的实践音视频开发全面指南,http://product.dangdang.com/25211329.html,273条评论
 产品经理必懂的技术那点事儿：成为全栈产品经理畅销书升级版，全面梳理产品经理必懂的技术知识体系架构，人人都是产品经理社区力荐,http://product.dangdang.com/25215418.html,652条评论
 C 和指针(Ｃ指针的经典之作，读者好评如潮)C语言编程入门书籍 C指针的经典之作 读者好评如潮,http://product.dangdang.com/20165942.html,12848条评论
 JavaScript从入门到精通（标准版） JavaScript高级程序设计视频讲解，web开发核心技术案例实战，8大扫一扫随时随地看视频 512节同步视频 1016个案例分析 1000道习题面试题 4396个案例 47部参考手册 1636个模版 17类素材库 623项配色 508项欣赏库 10年经验 网页制作 网页,http://product.dangdang.com/25108304.html,1355条评论
 Kotlin实战Android界Swift Java全兼容 谷歌官方头牌 移动开发巨变,http://product.dangdang.com/25124461.html,994条评论
 破茧成蝶——用户体验设计师的成长之路网易交互设计师力作 用户体验设计师UE UX业内专家一致好评 走进产品设计领略用户体验要素和交互设计精髓 全彩印刷,http://product.dangdang.com/23494800.html,5426条评论
 数据结构 Python语言描述基于Python语言的数据结构基础编程语法详解 国外高等院校信息科学与技术教材,http://product.dangdang.com/25195904.html,1691条评论
 SQL Server 从入门到精通（第2版）,http://product.dangdang.com/25149876.html,1282条评论
 阿里巴巴Java开发手册来自于阿里集团的智慧与经验，用血淋淋的故障换来的总结 阿里经济体全球技术开发准则；阿里经济体全球技术开发准则； 帮助工程师脱离烦琐，重燃技术激情； 降低企业技术沟通成本，提高团队协同研发效能,http://product.dangdang.com/25203063.html,1033条评论
 C程序设计语言 第2版·新版,http://product.dangdang.com/8766529.html,18420条评论
 C语言从入门到精通（项目案例版）重印40次销售18万册扫码看视频手机扫码看视频重印40次销售18万册之全新再造，240节视频 150小时在线课程 职业规划及800道面试真题 881个源码分析 15个移植模块 16个项目案例,http://product.dangdang.com/25178281.html,939条评论
 算法基础：打开算法之门《算法导论》作者托马斯 科尔曼针对大众读者的算法著作，理解计算机科学中关键算法的简明读本,http://product.dangdang.com/23829589.html,1428条评论
 Head First Python(第二版)Python书就该像Python语言一样有趣。这本书会带你轻松愉快地学习这种语言，帮助你迅速成为一名Python程序员。,http://product.dangdang.com/25216230.html,938条评论
 Python算法教程精通Python基础算法 畅销书Python基础教程作者力作,http://product.dangdang.com/23834026.html,2411条评论
 Java高并发编程详解：多线程与架构设计汇丰软件全球（广东）研发中心技术专家撰写，作者毫无保留地分享了多年的Java服务器、大数据程序开发架构经验和*实践。实战性强，从底层原理的角度总结和归纳各个技术细节，结合真实的案例讲解高并发程序设计,http://product.dangdang.com/25280883.html,30条评论
 C语言从入门到精通(第3版)新版上市！c语言入门经典 持续八年畅销 150000读者口碑相传 累计33次印刷 30小时视频 881个经典实例 371项面试真题 616项测试 ppt电子课件c语言 编程入门 实例 案例 视频教 长,http://product.dangdang.com/24188655.html,3888条评论
 算法竞赛入门经典——习题与解答畅销9年的算法好书！数万读者翘首以盼的《算法竞赛入门经典》配套题解！,http://product.dangdang.com/25191553.html,601条评论
 Spring Cloud 微服务架构开发实战（全新升级版）全新的Spring Boot 2.0及Spring Cloud Finchley.M2技术栈，从0到1搭建微服务系统，从1到0实现微服务拆分，实现对微服务的治理！,http://product.dangdang.com/25290432.html,10条评论
 动手玩转Scratch2.0编程—STEAM创新教育指南儿童编程，在游戏中学编程,http://product.dangdang.com/23794057.html,6060条评论
 软件测试的艺术（原书第3版）（决战大数据时代！IT技术人员不得不读！）,http://product.dangdang.com/22722789.html,5591条评论
 大型网站技术架构演进与性能优化大型网站技术选型思路大曝光，大流量高并发网站性能瓶颈大突破,http://product.dangdang.com/25291817.html,2条评论
 流畅的PythonPSF研究员 知名PyCon演讲者心血之作 全面深入 对Python语言关键特性剖析到位 兼顾Python 3和Python 2,http://product.dangdang.com/25071121.html,1796条评论
 轻松玩转Scratch编程通过脚本的构思、流程的规划，以搭积木的方式，轻松学会使用Scratch编程。郑荣华，吴刚，郑京京，潭洪联合推荐！,http://product.dangdang.com/25121674.html,1766条评论
 Scratch 2.0少儿游戏趣味编程scratch2.0少儿编程真好玩 青少年编程入门指南 游戏化编程 寓教于乐 配有280分钟视频讲解 方便亲子互动和自学,http://product.dangdang.com/25281924.html,19条评论
 用Python写网络爬虫 第2版畅销的Python 3网络爬虫 数据抓取采集分析 开发实战图书全新升级版 针对Python 3编写 上一版年度销量近40000册 提供示例完整源码和实例网站搭建源码,http://product.dangdang.com/25303745.html,0条评论
 Python深度学习Python人工智能入门教程 用Python快速学习深度神经网络,http://product.dangdang.com/25286949.html,3条评论
 Scratch少儿趣味编程2少儿编程入门书 麻省理工大学教授 Scratch之父作序推荐 能激发少儿想象力的编程书 能培养孩子逻辑思维亲子学习编程的图书,http://product.dangdang.com/25060860.html,2231条评论
 MATLAB从入门到精通(第2版)(matlab仿真教程实例，图像处理应用精粹，matlab必备宝典！)MATLAB入门提高必备宝典，两版累计热销6年，数万读者的理性选择；超高性价比，被多所高校选作教材，可下载书中源代码和图片，制作课件更方便！,http://product.dangdang.com/22765217.html,4718条评论
 Kubernetes权威指南：从Docker到Kubernetes实践全接触（纪念版）热卖容器书！HPE、JD、InfoQ等大牛力荐！涵盖K8s v1.0到v1.6+的全部特性,http://product.dangdang.com/25146999.html,746条评论
 Head First HTML 与 CSS（第二版）Head First系列又一大作，数万读者口碑相传，累计印刷十余次，HTML5与CSS网页编程类畅销书，网页编程入门经典,http://product.dangdang.com/23348110.html,5606条评论
 区块链核心算法解析全面解读共识在各种应用场景中的实现机制！权威、全面、易读好懂！,http://product.dangdang.com/25107162.html,1990条评论
 Axure RP8 实战手册 网站和APP原型制作案例精粹美国Axure官方推荐中文教材Axure RP 7.0从入门到精通 Web + APP产品经理原型设计作者小楼老师新作 从APP到网站 166个实例完全讲解 全覆盖各个典型案例原型制作,http://product.dangdang.com/24032198.html,3532条评论
 CCF中学生计算机程序设计套装（共2册）浅显的描述揭示深刻的内涵，信息学国际教练，教你如何编程！CCF中学生计算机程序设计教材，noip竞赛必备参考书，中学生计算机编程经典教材，小学、初、高中计算机程序设计爱好者必备,http://product.dangdang.com/24216603.html,1305条评论
 区块链技术指南,http://product.dangdang.com/24147347.html,2555条评论
 Python自然语言处理Python自然语言处理的权威之作,http://product.dangdang.com/23503127.html,2649条评论
 Keras深度学习实战人工智能深度学习教程 Keras快速上手 基于Keras的Python实践 Keras深度学习实践应用 提升AI编程能力,http://product.dangdang.com/25295969.html,2条评论
 Spring Boot实战全面分析Spring Boot核心功能和特性 掌握高效Java开发利器 快速构建微服务,http://product.dangdang.com/24028426.html,1297条评论
 白话区块链,http://product.dangdang.com/25188372.html,789条评论
 ES6标准入门（第3版）,http://product.dangdang.com/25156888.html,1544条评论
 Python 3.5从零开始学编者手把手教学,生动有趣,通俗易懂,python零基础也能轻松学,http://product.dangdang.com/25123327.html,2157条评论
 Python+Spark 2.0+Hadoop机器学习与大数据实战浅显易懂的原理介绍加上Step by Step 实机操作、范例程序详细解说,实现降低机器学习与大数据技术的学习门槛,http://product.dangdang.com/25213411.html,451条评论
 Python带我起飞——入门、进阶、商业实战（python入门级，小白快速上手）“教学视频+ 图书+ QQ群交流、答疑”三维学习方案，让Python学习更轻松。赠送教学视频47段，共计429分钟。全书共计42个实例。15位技术专家联合推荐！,http://product.dangdang.com/25296509.html,7条评论
 Java多线程编程核心技术(资深Java专家10年经验总结，全程案例式讲解，首本全面介绍Java多线程编程技术的专著),http://product.dangdang.com/23711315.html,2578条评论
 Python基础教程(第2版·修订版)Python入门佳作 Python编程从入门到实践 机器学习 数据处理 网络爬虫热门编程语言 主打Python2 涉及Python3,http://product.dangdang.com/23473514.html,28199条评论
 轻量级Java EE企业应用实战（第5版）——Struts 2+Spring 5+Hibernate 5/JPA 2整,http://product.dangdang.com/25245286.html,198条评论
 Java Web从入门到精通（第2版）新版上市！ 60000读者口碑相传 17小时视频 169个经典实例 369项面试真题 596项测试 ppt电子课件 java web开发详解 实例典型模块 项目案例 视频教程 长期位居java web,http://product.dangdang.com/25094012.html,699条评论
 领域驱动设计 软件核心复杂性应对之道 修订版领域驱动设计之父 经典著作 众多声名显赫软件大师鼎力推荐，深度剖析构建高质量复杂系统的核心技术,http://product.dangdang.com/23981385.html,1494条评论
 JavaScript DOM编程艺术(第2版)（html+css+javascript教程精粹，JavaScrip权威畅销书升级版 详解开发Web应用的基石 W3C的DOM标准 国际知名web设计师 倡导Web标准的领军人物执笔 揭示了前端开发的真谛,http://product.dangdang.com/21049601.html,8701条评论
 区块链开发指南区块链底层技术和应用开发的必备用书，中国三大区块链联盟的大伽联袂推荐,http://product.dangdang.com/25104118.html,1222条评论
 Java语言程序设计（基础篇）（原书第10版）Daniel Liang的经典著作，全面整合Java 8的特性，采用“基础优先，问题驱动”的教学方式，循序渐进地介绍了程序设计基础、解决问题的方法、面向对象程序设计、图形用户界面设计、异常处理,http://product.dangdang.com/23746255.html,2842条评论
 深入浅出Node.js【深入讲解Node的图书，详细讲述基于JavaScript运行时所建立的平台原理，与mongod,http://product.dangdang.com/23371791.html,5644条评论
 Spring MVC+MyBatis开发从入门到项目实战全方位解析面向Web应用的轻量级框架，带你成为Spring MVC开发高手,http://product.dangdang.com/25227419.html,517条评论
 C++从入门到精通（第3版）新版上市！ c++ 编程 从入门到精通 16小时语音视频 881个实例 371项面试真题 616项测试 c++入门经典 范例 案例 视频教程 零基础学c++ 深入详解,http://product.dangdang.com/25092382.html,894条评论
 Redis实战Redis设计与实现作者黄健宏译 Redis之父作序推荐 Redis开发与运维入门指南 邮件列表中极具声望的活跃贡献者Josiah L. Carlson经典作品,http://product.dangdang.com/23800641.html,4976条评论
 C语言程序设计从入门到精通零基础学编程 c语言入门经典 计算机网络编程书籍数据结构算法javascript高级程序设计,http://product.dangdang.com/25211517.html,132条评论
 锋利的jQuery(第2版)(畅销书升级版，增加jQuery Mobile和性能优化)web前端开发名作 轻量级Javascript库jQuery图书畅销升级版 增加jQuery Mobile和性能优化等实用内容,http://product.dangdang.com/22786088.html,11161条评论
 Unity 5.X从入门到精通Unity官方年度巨献，基于5.X新版本，为游戏开发者带来一场饕餮盛宴。,http://product.dangdang.com/23829283.html,3118条评论
 深入理解Spring Cloud与微服务构建全面讲解Spring Cloud基础组件 深入理解微服务原理 一站式构建微服务解决方案,http://product.dangdang.com/25231114.html,1202条评论
 Android应用安全防护和逆向分析,http://product.dangdang.com/25205017.html,248条评论
 C 专家编程(，c语言入门宝典！C编程语言经典之作！)C编程语言程序设计经典著作 C语言入门软件开发宝典 C陷阱与缺陷 C和指针系列丛书,http://product.dangdang.com/20105286.html,7524条评论
 Python数据科学手册从计算环境配置到机器学习实战书籍 大量示例 逐步讲解 举一反三 掌握用Scikit-Learn NumPy等工具高效存储 处理和分析数据 切实解决工作痛点,http://product.dangdang.com/25228733.html,692条评论
 图解HTTPWeb开发工程师参考书目 172张图详解HTTP协议 涉及web安全及新技术动向 HTTP经典指南 图解TCP/IP 图解网络硬件 图解机器学习 图解密码技术姊妹篇,http://product.dangdang.com/23462067.html,5243条评论
 毫无障碍学Python高营养，好吸收！从基础到爬虫、人脸识别、验证码破解、数据抓取与分析……,轻松掌握,http://product.dangdang.com/25180878.html,846条评论
 开放式控制系统编程技术 基于IEC 61131-3国际标准CodeSYS官方认可指导用书 开放式智能控制系统开发教程,http://product.dangdang.com/25307676.html,3条评论
 Python测试之道基于Python3.6的测试开发实践总结 讲解测试开发技术大趋势 使用Python执行接口自动化和接口并发测试,http://product.dangdang.com/25293877.html,3条评论
 自动化平台测试开发：Python测试开发实战,http://product.dangdang.com/25292087.html,5条评论
 Python核心编程（第二版）(Python领域经典作品、非常有名的开发指南),http://product.dangdang.com/20255354.html,13052条评论
 UI设计必修课：游戏+软件+网站+APP界面设计教程（全彩）（含DVD光盘1张）解析游戏，软件，网站，APP等多行业的UI设计案例，了解多行业的设计理念和方法。一本书教会你运用视觉设计，打造完美的用户界面！ 随书赠送源文件30余个，教学视频350分钟，素材近百余个。,http://product.dangdang.com/25107206.html,568条评论
 测试架构师修炼之道：从测试工程师到测试架构师10年资深测试架构师，华为和绿盟测试经验总结，4个模型和2份checklist帮你构建测试体系，快速成为测试架构师,http://product.dangdang.com/23946622.html,1499条评论
 Python数据分析 第2版学习Python编程 轻松应对大数据分析任务 掌握信号处理、时间序列、文本数据分析、机器学习等技能,http://product.dangdang.com/25278605.html,53条评论
 C Primer Plus（第五版）中文版(经久不衰的经典教程，C语言入门的不二之选)C语言从入门到精通,http://product.dangdang.com/8976834.html,28145条评论
 HTML5+CSS3从入门到精通（标准版）扫一扫随时随地看视频 325节同步微视频 412个案例分析 1000习题面试题 4396个案例 47部参考手册 1636个模版 17类素材库 623项配色 508项欣赏库 作者10年一线经验,http://product.dangdang.com/25113208.html,747条评论
 HTML CSS JavaScript基础教程 Web前端开发精品课网页制作网站设计web前端开发教程 讲透HTML5 H5 CSS3 JS核心知识 配套在线资料 面试练习题 源码素材 课件PPT 免费交流群 全方位学习服务 iWeb学院隆重推荐,http://product.dangdang.com/25160597.html,397条评论
 明解C语言 第3版 入门篇原版畅销28万册！C语言入门经典，比课本更易懂,http://product.dangdang.com/23818127.html,1288条评论
 OpenCV 3计算机视觉：Python语言实现（原书第2版）,http://product.dangdang.com/23985571.html,1235条评论
 Python参考手册 第4版 修订版Python编程经典著作全面修订 Python核心编程精选 Python程序员案头必读 Python 3,http://product.dangdang.com/24047813.html,869条评论
 React进阶之路前端*火框架——React前端开发，作者带你轻松学,http://product.dangdang.com/25249546.html,193条评论
 新概念51单片机C语言教程——入门、提高、开发、拓展全攻略（第2版）,http://product.dangdang.com/25216353.html,4735条评论
 Python游戏编程快速上手 第4版,http://product.dangdang.com/25173882.html,301条评论
 Python爬虫开发与项目实战全面剖析爬虫技术的实现原理 利用Python的强大功能从任意网站爬取数据,http://product.dangdang.com/25091587.html,1280条评论
 C#高级编程(第10版)C#经典名著，连续畅销十九年，累计销售超20万册，wrox精品红皮书，引领无数程序员进入程序开发殿堂2009年度/2011年度全行业优秀畅销书，深受广大读者喜爱2008年度优秀技术图书！2007年度*,http://product.dangdang.com/25268241.html,16条评论
 程序员的数学1+2+3 数学思维+概率统计+线性代数（套装共3册）一本为程序员朋友们写的数学书 感受数学之美 活跃你的数学思维 机器学习 数据挖掘 模式识别基础知识,http://product.dangdang.com/23954702.html,2202条评论
 贝叶斯思维 统计建模的Python学习法机器学习 人工智能 数据分析从业者大数据时代的技能基础 Think Stats和Think Python图书作者重磅出击 数据分析师 数据工程师 数据科学家案头常备,http://product.dangdang.com/23667149.html,2689条评论
 C语言程序设计(第3版),http://product.dangdang.com/24142502.html,1219条评论
 《Spring技术内幕（第2版）》（畅销书全新升级，Spring类图书销量桂冠，从宏观和微观两个角度解析Spring架,http://product.dangdang.com/22606836.html,2966条评论
 小学生C++趣味编程(上下)儿童编程 程序设计计算机与互联网 scratch少儿趣味编程入门 信息学奥赛一本通【新华书【好评返5元店铺优惠券】,http://product.dangdang.com/1196847477.html,0条评论
 Qt 5.9 C++开发指南QT5.9编程开发指南 提供实例源代码,http://product.dangdang.com/25265627.html,104条评论
 计算机程序设计艺术 卷1 基本算法（第3版）经典计算机科学巨著重装上市,http://product.dangdang.com/23839682.html,797条评论
 代码整洁之道 程序员的职业素养代码整洁之道Clean Code姐妹篇 编程大师40余年心得体会 阐释软件工艺中的原理 技术 工具和实践 助力专业软件开发人员具备令人敬佩的职业素养,http://product.dangdang.com/24035493.html,2126条评论
 大型网站系统与Java中间件实践（贯通分布式高并发高数据高访问量网站架构与实现之权威著作，九大一线互联网公司CTO联合,http://product.dangdang.com/23462041.html,3580条评论
 程序员的自我修养—链接、装载与库（ 网易云风力荐：莫到用时再读书！）俯瞰程序前世今生参透代码如何变成程序在系统中运行 透过系统软件底层形成机制走进程序世界探索深层次的自己,http://product.dangdang.com/20569834.html,5803条评论
 数据结构（C++语言版）（第3版）,http://product.dangdang.com/24169453.html,291条评论
 Redis设计与实现（资深Redis技术专家撰写，深入了解Redis技术内幕的必读之作。从源码角度解析Redis的架构,http://product.dangdang.com/23501734.html,2792条评论
 MySQL从入门到精通新品上市 mysql 入门经典 6小时视频讲解 267个经典实例 369项面试真题 616项测试 ppt电子课件 mysql 从入门到精通 数据库教程书籍 快速掌握mysql的管理和开发 mysql必,http://product.dangdang.com/25148724.html,420条评论
 趣学Python——教孩子学编程少儿编程入门书 无需任何计算机知识 轻松有趣地掌握Python编程 开发智力拓展思维 就和孩子一起学编程,http://product.dangdang.com/23648843.html,1203条评论
 云计算：概念、技术与架构（畅销IT书籍作者Thomas Erl的又一力作！对云计算技术的详细解读，是你不可或缺的指导书,http://product.dangdang.com/23520788.html,2753条评论
 Web前端全能开发秘籍：HTML5 CSS3 JavaScript jQuery网站建设案例实战（微课视频版）扫码看视频HTML5 CSS3 JavaScript jQuery网站建设,http://product.dangdang.com/410260224.html,345条评论
 Kafka权威指南Kafka核心作者和业界一线人员共同执笔 全面介绍Kafka设计原理和架构细节,http://product.dangdang.com/25211884.html,695条评论
 JavaScript设计模式百度前端专家力作 百度前端高级工程师鼎力推荐 web前端开发人员参考书 Web前端设计模式指南,http://product.dangdang.com/23753847.html,2313条评论
